step,time,msd
0,0,3.86226299196207e-29
100,0.5,1.23125383232912
200,1,4.07038336074324
300,1.5,7.84149299430495
400,2,12.0912061588646
500,2.5,16.8064863520177
600,3,21.332323300836
700,3.5,25.9754166266356
800,4,30.5899442596939
900,4.5,35.3729453320722
1000,5,41.5121479737671
1100,5.5,47.2907546319964
1200,6,53.0413388540707
1300,6.5,59.0223475170072
1400,7,64.7980872302706
1500,7.5,69.8992345198763
1600,8,74.6645317128177
1700,8.5,79.2820743546795
1800,9,84.0985852247112
1900,9.5,89.1476566736325
2000,10,93.2032038481437
2100,10.5,97.4464314098948
2200,11,102.18374112113
2300,11.5,105.99932681884
2400,12,110.18042685566
2500,12.5,114.611856474348
2600,13,119.340081057988
2700,13.5,123.38792004141
2800,14,127.319214671569
2900,14.5,131.03035021753
3000,15,134.35812222972
3100,15.5,137.822009365478
3200,16,141.91170155901
3300,16.5,145.303076052631
3400,17,148.789363372102
3500,17.5,153.301128522526
3600,18,157.510161482816
3700,18.5,161.607431599598
3800,19,166.738976086104
3900,19.5,171.879287796715
4000,20,176.14533867853
4100,20.5,179.90220243802
4200,21,184.388493617457
4300,21.5,189.102550694367
4400,22,193.196889959474
4500,22.5,198.391307839163
4600,23,203.412769790971
4700,23.5,207.832333280662
4800,24,211.881825913984
4900,24.5,216.385578275419
5000,25,221.580436447854
5100,25.5,226.819438455358
5200,26,232.780908722192
5300,26.5,238.49828730041
5400,27,244.954355090346
5500,27.5,250.476444280311
5600,28,255.359313764958
5700,28.5,260.021325575927
5800,29,265.028487096968
5900,29.5,270.731986248141
6000,30,275.693856046963
6100,30.5,282.280681475135
6200,31,287.789881716895
6300,31.5,292.945328830965
6400,32,298.326619392936
6500,32.5,304.095108877954
6600,33,309.307648134463
6700,33.5,312.980478141815
6800,34,317.394115792663
6900,34.5,322.835180459739
7000,35,328.789031142077
7100,35.5,335.170165119355
7200,36,342.456943022769
7300,36.5,349.869028341769
7400,37,357.341792980712
7500,37.5,363.702823135736
7600,38,368.813997410963
7700,38.5,373.797598356963
7800,39,378.786407436246
7900,39.5,384.23665330906
8000,40,387.884317215573
8100,40.5,390.564276392621
8200,41,393.561122213016
8300,41.5,397.515848021177
8400,42,402.571228511205
8500,42.5,408.041717318929
8600,43,413.003442040514
8700,43.5,417.600546107603
8800,44,422.904242064997
8900,44.5,428.912057596819
9000,45,434.250828525927
9100,45.5,438.144590629567
9200,46,443.094825438197
9300,46.5,448.485617478092
9400,47,452.349948406746
9500,47.5,456.183460757003
9600,48,460.878634201058
9700,48.5,465.702373880438
9800,49,469.935044650584
9900,49.5,474.249980869126
10000,50,479.622630725785
10100,50.5,484.994590948941
10200,51,490.860421138062
10300,51.5,497.693969189569
10400,52,503.893348472758
10500,52.5,509.076534712625
10600,53,515.042098494903
10700,53.5,519.849947033561
10800,54,523.636872031061
10900,54.5,527.041290109154
11000,55,531.248268783839
11100,55.5,536.065074606098
11200,56,541.849514411067
11300,56.5,548.233248698069
11400,57,552.49658134335
11500,57.5,558.806466243037
11600,58,565.196829048242
11700,58.5,569.68412569116
11800,59,574.920335156922
11900,59.5,580.511755524249
12000,60,584.825165274663
12100,60.5,589.155924489885
12200,61,594.125800227458
12300,61.5,600.664114486377
12400,62,606.532750207096
12500,62.5,609.954752338146
12600,63,614.056954841335
12700,63.5,617.621332408929
12800,64,620.678003128214
12900,64.5,623.954343795194
13000,65,628.728367695032
13100,65.5,634.356666618643
13200,66,638.72935453621
13300,66.5,642.877904317951
13400,67,646.739236093411
13500,67.5,650.266268502305
13600,68,656.519422051132
13700,68.5,663.912958977992
13800,69,671.609408500223
13900,69.5,678.750022665066
14000,70,685.265551431532
14100,70.5,689.686325601816
14200,71,695.214625824733
14300,71.5,699.044084503947
14400,72,703.389202013521
14500,72.5,709.096862851263
14600,73,713.167414207292
14700,73.5,719.142109609436
14800,74,724.64087997256
14900,74.5,727.749026871411
15000,75,730.652896612469
15100,75.5,734.379230691895
15200,76,735.822491743075
15300,76.5,737.25588962091
15400,77,741.935420288859
15500,77.5,746.561456225347
15600,78,748.747345629423
15700,78.5,750.0514093233
15800,79,751.067803289005
15900,79.5,754.031026721634
16000,80,758.869035316077
16100,80.5,764.09329499257
16200,81,768.804035419249
16300,81.5,772.561085445309
16400,82,776.528441582723
16500,82.5,782.645119397986
16600,83,789.817271238951
16700,83.5,796.282261270502
16800,84,800.491087440453
16900,84.5,803.045239185195
17000,85,808.202078348223
17100,85.5,812.719856085093
17200,86,818.170754214697
17300,86.5,822.249472880829
17400,87,828.929616223889
17500,87.5,835.067398200575
17600,88,839.288755522675
17700,88.5,844.876509919151
17800,89,849.165838942578
17900,89.5,852.607264048345
18000,90,855.720368052063
18100,90.5,859.665535051583
18200,91,865.511066092969
18300,91.5,870.7631727162
18400,92,874.030601198914
18500,92.5,876.005306975955
18600,93,879.822061258764
18700,93.5,884.306520855632
18800,94,887.098271137493
18900,94.5,888.708084331807
19000,95,890.695120887658
19100,95.5,894.196130577468
19200,96,898.578463561135
19300,96.5,903.546575708844
19400,97,909.996618411173
19500,97.5,914.929419511872
19600,98,920.375337782206
19700,98.5,925.145549050061
19800,99,930.827176010728
19900,99.5,937.785550316669
20000,100,943.757571661388
20100,100.5,947.88107071573
20200,101,952.787789419928
20300,101.5,957.262002455702
20400,102,961.272221220738
20500,102.5,966.351694812264
20600,103,971.828659482164
20700,103.5,977.728216181951
20800,104,984.079175349264
20900,104.5,990.619379592427
21000,105,996.199255769995
21100,105.5,1002.52043885314
21200,106,1007.9242078541
21300,106.5,1014.03170643469
21400,107,1019.80750079201
21500,107.5,1024.27110170312
21600,108,1030.31298675581
21700,108.5,1036.68061587753
21800,109,1038.27737229751
21900,109.5,1039.44299000972
22000,110,1040.27484402073
22100,110.5,1043.9678839887
22200,111,1048.46784650908
22300,111.5,1054.56630522118
22400,112,1057.45860022616
22500,112.5,1058.42484846048
22600,113,1059.67889593749
22700,113.5,1060.85512709619
22800,114,1062.68800324356
22900,114.5,1066.32992111686
23000,115,1072.65439516725
23100,115.5,1080.53995187613
23200,116,1086.21231802222
23300,116.5,1092.69515797755
23400,117,1100.55023499079
23500,117.5,1104.95144963975
23600,118,1107.94407641425
23700,118.5,1111.05727005982
23800,119,1116.03137611217
23900,119.5,1122.16689352614
24000,120,1126.46205292923
24100,120.5,1131.931329212
24200,121,1136.30130287115
24300,121.5,1142.35708611141
24400,122,1148.7679628146
24500,122.5,1153.47536434812
24600,123,1156.47380599211
24700,123.5,1160.38978806257
24800,124,1166.26780019558
24900,124.5,1172.54528187247
25000,125,1179.44973118813
25100,125.5,1187.78840450889
25200,126,1196.93261861402
25300,126.5,1202.66374024226
25400,127,1204.37005632273
25500,127.5,1208.43836699971
25600,128,1211.97123364082
25700,128.5,1214.29108997279
25800,129,1218.68902176803
25900,129.5,1226.56748258623
26000,130,1234.36352843556
26100,130.5,1241.80070340205
26200,131,1249.33033630049
26300,131.5,1256.36840384146
26400,132,1263.0939710619
26500,132.5,1266.15246951327
26600,133,1270.28721071604
26700,133.5,1272.31444291516
26800,134,1273.22959988464
26900,134.5,1275.46979827931
27000,135,1276.65862209376
27100,135.5,1279.4349891926
27200,136,1282.99269863487
27300,136.5,1285.2139023332
27400,137,1288.02683871141
27500,137.5,1291.12426562211
27600,138,1294.84692177047
27700,138.5,1295.57298239486
27800,139,1300.52652094866
27900,139.5,1307.86389276973
28000,140,1314.78156258645
28100,140.5,1319.18162885841
28200,141,1322.03698661091
28300,141.5,1325.92911135581
28400,142,1330.85834602262
28500,142.5,1335.54993730738
28600,143,1341.65780644945
28700,143.5,1344.74889448459
28800,144,1346.8074504911
28900,144.5,1349.37312788623
29000,145,1352.93883508999
29100,145.5,1358.5153262009
29200,146,1362.95157965318
29300,146.5,1365.14470111022
29400,147,1368.17463633921
29500,147.5,1373.63053522313
29600,148,1379.45128463071
29700,148.5,1385.47117775611
29800,149,1394.50703066358
29900,149.5,1404.05207905047
30000,150,1410.51483458779
30100,150.5,1415.20756806563
30200,151,1421.49072760244
30300,151.5,1426.03638025641
30400,152,1430.42719684034
30500,152.5,1436.47710511309
30600,153,1441.27215096233
30700,153.5,1447.11538061605
30800,154,1452.33429610234
30900,154.5,1456.65236061838
31000,155,1460.40334253677
31100,155.5,1464.61379980367
31200,156,1468.71127142515
31300,156.5,1475.11127594273
31400,157,1484.79959109387
31500,157.5,1491.82215170925
31600,158,1497.52731702278
31700,158.5,1503.92630911705
31800,159,1508.47458469446
31900,159.5,1513.21873429535
32000,160,1521.60101828777
32100,160.5,1528.78783997294
32200,161,1536.50511416167
32300,161.5,1543.34568184453
32400,162,1548.80307068225
32500,162.5,1552.37578269624
32600,163,1556.2258877869
32700,163.5,1561.96864696389
32800,164,1570.33757214701
32900,164.5,1577.77430957624
33000,165,1584.63050101207
33100,165.5,1587.28019445079
33200,166,1592.99937731505
33300,166.5,1595.30893967301
33400,167,1598.19021850214
33500,167.5,1600.77136490038
33600,168,1603.61107745542
33700,168.5,1605.78890693266
33800,169,1609.10055335139
33900,169.5,1614.42080793251
34000,170,1616.59378264486
34100,170.5,1616.00771396459
34200,171,1620.32505985992
34300,171.5,1625.93127816868
34400,172,1632.00541757893
34500,172.5,1639.57653002938
34600,173,1645.22165256437
34700,173.5,1649.10426727423
34800,174,1652.95271442469
34900,174.5,1656.79041423834
35000,175,1661.23974629301
35100,175.5,1663.82343075627
35200,176,1667.45883837902
35300,176.5,1673.053370525
35400,177,1676.959574999
35500,177.5,1683.34006215305
35600,178,1688.49683033895
35700,178.5,1690.63976017565
35800,179,1689.99180119789
35900,179.5,1691.56025491041
36000,180,1694.24768953997
36100,180.5,1695.10026989481
36200,181,1699.49779360968
36300,181.5,1704.15692314732
36400,182,1707.79784789173
36500,182.5,1713.07628575746
36600,183,1718.71928269239
36700,183.5,1723.44193543621
36800,184,1727.70411952275
36900,184.5,1732.64186042837
37000,185,1739.73171391409
37100,185.5,1746.3680133721
37200,186,1753.6938303011
37300,186.5,1761.2742388261
37400,187,1767.1323328711
37500,187.5,1773.83965983035
37600,188,1779.98359043415
37700,188.5,1786.66574785621
37800,189,1793.85951065239
37900,189.5,1800.34428390681
38000,190,1805.2955621225
38100,190.5,1813.51821130353
38200,191,1821.57217886684
38300,191.5,1826.39396935694
38400,192,1830.8237560446
38500,192.5,1834.40367045554
38600,193,1839.62851338527
38700,193.5,1846.48637858403
38800,194,1850.9299779931
38900,194.5,1856.31984299666
39000,195,1860.9179454382
39100,195.5,1867.52432366154
39200,196,1874.53269973845
39300,196.5,1880.96707173098
39400,197,1888.17686485455
39500,197.5,1895.67894699228
39600,198,1899.62161915039
39700,198.5,1903.89928229097
39800,199,1909.04126555865
39900,199.5,1913.13267925628
40000,200,1914.79160866196
40100,200.5,1915.30114458979
40200,201,1918.6806844495
40300,201.5,1924.21608049781
40400,202,1930.09826038407
40500,202.5,1935.33678078191
40600,203,1939.88953639132
40700,203.5,1946.51701197261
40800,204,1953.03943098358
40900,204.5,1959.89773969121
41000,205,1966.45871884237
41100,205.5,1972.12288822799
41200,206,1977.76819419931
41300,206.5,1983.76980643598
41400,207,1988.93071980129
41500,207.5,1990.73578874411
41600,208,1992.26846931365
41700,208.5,1991.30623420287
41800,209,1992.27016807199
41900,209.5,1996.24098106199
42000,210,2002.85646300306
42100,210.5,2008.56326050275
42200,211,2011.12974485432
42300,211.5,2011.37365376658
42400,212,2015.16991801011
42500,212.5,2021.9016994677
42600,213,2029.85663856336
42700,213.5,2034.61938453222
42800,214,2037.57298933287
42900,214.5,2044.77052578866
43000,215,2050.73893665758
43100,215.5,2057.72486512581
43200,216,2064.16922876686
43300,216.5,2068.21861712435
43400,217,2073.3912166521
43500,217.5,2078.34815280388
43600,218,2084.81691386843
43700,218.5,2090.32959586586
43800,219,2095.71800003499
43900,219.5,2098.09380139116
44000,220,2096.85088916618
44100,220.5,2098.89749577415
44200,221,2097.11570162744
44300,221.5,2095.76847377825
44400,222,2098.84764007912
44500,222.5,2101.62275495302
44600,223,2103.0198310228
44700,223.5,2104.76816663386
44800,224,2107.41120016616
44900,224.5,2111.09701794253
45000,225,2117.60894397771
45100,225.5,2125.03086205067
45200,226,2132.68283632504
45300,226.5,2139.22959184841
45400,227,2144.35639436413
45500,227.5,2147.63042820526
45600,228,2152.27230722649
45700,228.5,2157.36699041337
45800,229,2163.91743142106
45900,229.5,2168.68317809511
46000,230,2170.02999299697
46100,230.5,2175.65833309971
46200,231,2180.48975404998
46300,231.5,2189.96041422085
46400,232,2196.62052465051
46500,232.5,2207.45615966453
46600,233,2218.55825017739
46700,233.5,2226.03530665809
46800,234,2232.4969847755
46900,234.5,2239.52711089627
47000,235,2246.17940994551
47100,235.5,2253.58512127962
47200,236,2263.12088689069
47300,236.5,2273.67269573737
47400,237,2283.35054845976
47500,237.5,2291.04786846829
47600,238,2300.28668978642
47700,238.5,2310.21583273632
47800,239,2319.17388359144
47900,239.5,2331.12741484375
48000,240,2339.67625192319
48100,240.5,2347.27554464638
48200,241,2352.54199324794
48300,241.5,2356.52701266295
48400,242,2358.97452760297
48500,242.5,2361.5213473519
48600,243,2364.06691512495
48700,243.5,2365.130708571
48800,244,2365.8692186779
48900,244.5,2366.65011162744
49000,245,2366.7076296487
49100,245.5,2367.57072531615
49200,246,2369.55943939798
49300,246.5,2374.76635712059
49400,247,2375.26462813135
49500,247.5,2374.08730265961
49600,248,2379.06648673324
49700,248.5,2383.60532154233
49800,249,2387.54340984727
49900,249.5,2391.11717051609
50000,250,2390.33801392319
50100,250.5,2389.27625126775
50200,251,2393.62434507394
50300,251.5,2397.12307879169
50400,252,2398.97540134553
50500,252.5,2399.69230704871
50600,253,2404.19653049361
50700,253.5,2407.34652592018
50800,254,2413.33341588675
50900,254.5,2419.8988664176
51000,255,2424.15554601875
51100,255.5,2434.13290986695
51200,256,2443.20145597626
51300,256.5,2450.82314337104
51400,257,2455.26512344461
51500,257.5,2460.66183105585
51600,258,2464.65254375892
51700,258.5,2470.25973734791
51800,259,2480.65284935407
51900,259.5,2489.75760719726
52000,260,2497.99243120885
52100,260.5,2507.33693722818
52200,261,2510.65923981985
52300,261.5,2514.86106836556
52400,262,2519.56284972449
52500,262.5,2525.88628779193
